time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-11-09T15:49:04.412Z,59.4154,-152.9198,95.5,1.9,ml,,,,0.49,ak,ak17173685,2017-11-09T15:56:12.240Z,"73km WSW of Anchor Point, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-11-09T15:43:33.460Z,37.6101685,-118.8266678,4.68,1.5,md,17,81,0.0202,0.02,nc,nc72921731,2017-11-09T16:48:03.209Z,"13km ESE of Mammoth Lakes, California",earthquake,0.34,0.4,0.2,13,automatic,nc,nc
2017-11-09T15:42:34.100Z,36.9137,-98.3301,4.296,2.6,ml,,109,,0.39,us,us2000bkvy,2017-11-09T19:26:23.435Z,"17km N of Cherokee, Oklahoma",earthquake,1.2,2.7,,,reviewed,tul,tul
2017-11-09T15:38:55.310Z,34.3505,-117.4871667,12.65,2.53,ml,100,22,0.09463,0.2,ci,ci38039944,2017-11-09T23:00:14.471Z,"10km N of Lytle Creek, CA",earthquake,0.15,0.3,0.135,24,reviewed,ci,ci
2017-11-09T15:37:58.110Z,36.0618,140.1218,46.33,4.4,mb,,151,1.622,1,us,us2000bl61,2017-11-09T22:54:07.967Z,"4km WNW of Naka, Japan",earthquake,3,9.9,0.143,14,reviewed,us,us
2017-11-09T15:35:11.310Z,33.5103333,-116.7948333,5.97,0.43,ml,23,93,0.005037,0.08,ci,ci38039936,2017-11-09T22:58:59.756Z,"10km NE of Aguanga, CA",earthquake,0.19,0.47,0.081,8,reviewed,ci,ci
2017-11-09T15:21:11.990Z,46.8838333,-112.517,14.54,1.17,ml,12,105,0.119,0.12,mb,mb80268839,2017-11-09T16:59:11.170Z,"14km ESE of Lincoln, Montana",earthquake,0.47,0.5,0.023,2,reviewed,mb,mb
2017-11-09T15:14:16.820Z,44.8015,-111.0883333,4.97,0.21,md,7,206,0.01399,0.07,uu,uu60256837,2017-11-09T16:17:28.620Z,"15km N of West Yellowstone, Montana",earthquake,0.76,0.46,0.253,6,reviewed,uu,uu
2017-11-09T14:40:51.058Z,62.021,-148.2917,41.5,1,ml,,,,0.09,ak,ak17173500,2017-11-09T14:44:01.844Z,"38km NE of Sutton-Alpine, Alaska",earthquake,,0.9,,,automatic,ak,ak
2017-11-09T14:39:41.300Z,35.243,-97.7409,5.924,2.9,ml,,24,,0.64,us,us2000bkvq,2017-11-09T22:31:56.725Z,"8km SE of Tuttle, Oklahoma",earthquake,1.1,2.9,,,reviewed,tul,tul
